longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
23.2952940000;58.1672260000;0.23025;5.11283;18.19041;27.60000;1.10486;1617.71655;0.10709;5.00765;Invalid pos.;Invalid pos.
23.2996820000;58.1664590000;0.21030;5.11283;21.02978;27.30000;0.86498;1617.71655;0.10709;4.80303;Invalid pos.;Invalid pos.
23.3040710000;58.1656930000;0.34623;5.70040;21.02978;27.90000;1.53123;1617.71655;0.10709;4.06483;Invalid pos.;Invalid pos.
23.3084590000;58.1649260000;0.43431;6.12917;11.35320;28.20000;0.46276;1624.40942;0.10709;6.99166;Invalid pos.;Invalid pos.
23.3128470000;58.1641600000;0.22005;5.11283;36.22890;27.90000;1.95586;1611.02368;0.10079;4.60677;Invalid pos.;Invalid pos.
23.3172350000;58.1633930000;0.21030;5.11283;7.08588;27.60000;0.54478;1617.71655;0.10079;4.80303;Invalid pos.;Invalid pos.
23.3216220000;58.1626260000;0.22005;4.75516;12.65792;27.60000;1.01830;1611.02368;0.09449;2.91135;Invalid pos.;Invalid pos.
23.3260100000;58.1618590000;0.20098;4.75516;22.61157;27.00000;2.63791;1611.02368;0.08819;3.29952;Invalid pos.;Invalid pos.
23.3303970000;58.1610910000;0.19207;4.93075;23.44654;27.60000;1.01830;1584.25195;0.08189;3.73943;Invalid pos.;Invalid pos.
23.3347850000;58.1603240000;0.24093;5.11283;41.88391;28.50000;2.63791;1584.25195;0.08819;5.00765;Invalid pos.;Invalid pos.
23.3391720000;58.1595560000;0.20098;4.75516;13.61000;28.50000;1.07522;1604.33069;0.08819;3.73943;Invalid pos.;Invalid pos.
23.3435590000;58.1587890000;0.20098;4.75516;64.71778;28.20000;1.57344;1584.25195;0.08189;3.58663;Invalid pos.;Invalid pos.
23.3479460000;58.1580210000;0.20098;4.93075;15.73441;27.90000;0.69586;1611.02368;0.08189;4.41854;0.05690;0.00667
23.3523320000;58.1572530000;0.20098;4.93075;21.02978;26.70000;0.79721;1611.02368;0.08819;4.06483;Invalid pos.;Invalid pos.
23.3567190000;58.1564840000;0.21030;5.11283;11.35320;26.40000;0.75501;1617.71655;0.09449;4.80303;Invalid pos.;Invalid pos.
23.3611050000;58.1557160000;0.22005;5.11283;38.95392;25.80000;3.46234;1617.71655;0.10079;4.41854;Invalid pos.;Invalid pos.
23.3654910000;58.1549470000;0.22005;4.93075;36.22890;26.10000;1.19878;1617.71655;0.10709;4.06483;Invalid pos.;Invalid pos.
23.3698770000;58.1541790000;0.22005;4.75516;50.20967;25.80000;1.70720;1611.02368;0.10079;2.67829;Invalid pos.;Invalid pos.
23.3742630000;58.1534100000;0.21030;4.93075;12.20715;26.40000;0.51594;1624.40942;0.10709;3.44008;0.10239;0.00876
23.3786490000;58.1526410000;0.33089;5.70040;22.61157;26.40000;1.53123;1617.71655;0.10079;4.41854;Invalid pos.;Invalid pos.
23.3830350000;58.1518710000;0.23025;4.75516;32.49459;26.70000;1.23183;1617.71655;0.09449;2.56886;Invalid pos.;Invalid pos.
23.3874200000;58.1511020000;0.21030;4.93075;17.54262;26.10000;0.96439;1617.71655;0.10079;4.23799;Invalid pos.;Invalid pos.
23.3918060000;58.1503320000;0.23025;5.11283;13.61000;26.10000;0.55980;1617.71655;0.10079;4.80303;Invalid pos.;Invalid pos.
23.3961910000;58.1495630000;0.23025;4.75516;38.95392;25.80000;1.53123;1617.71655;0.10079;2.46389;Invalid pos.;Invalid pos.
23.4005760000;58.1487930000;0.26379;5.11283;38.95392;25.80000;1.85232;1604.33069;0.10079;4.06483;Invalid pos.;Invalid pos.
23.4049610000;58.1480230000;0.21030;4.93075;10.55898;26.40000;0.48863;1624.40942;0.09449;3.58663;Invalid pos.;Invalid pos.
23.4093460000;58.1472530000;0.20098;4.93075;16.31543;26.70000;0.77583;1611.02368;0.08819;3.73943;Invalid pos.;Invalid pos.
23.4137310000;58.1464820000;0.20098;4.75516;13.61000;27.30000;0.65902;1617.71655;0.08819;3.58663;Invalid pos.;Invalid pos.
23.4181150000;58.1457120000;0.21030;4.93075;16.31543;27.30000;1.33655;1611.02368;0.08819;3.58663;Invalid pos.;Invalid pos.
23.4225000000;58.1449410000;0.21030;4.93075;26.14104;27.90000;1.49014;1611.02368;0.09449;4.06483;Invalid pos.;Invalid pos.
23.4268840000;58.1441700000;0.36229;5.70040;31.33740;27.60000;0.71504;1611.02368;0.08819;5.00765;Invalid pos.;Invalid pos.
23.4312680000;58.1433990000;0.22005;4.93075;12.65792;27.90000;0.60739;1604.33069;0.08819;4.41854;Invalid pos.;Invalid pos.
23.4356520000;58.1426280000;0.21030;4.75516;27.10634;27.60000;2.36601;1590.94495;0.09449;2.79239;Invalid pos.;Invalid pos.
23.4400360000;58.1418570000;0.21030;4.93075;22.61157;27.30000;3.10546;1597.63782;0.10079;3.58663;Invalid pos.;Invalid pos.
23.4444190000;58.1410850000;0.21030;4.75516;30.22143;26.70000;0.99098;1617.71655;0.10079;3.03538;Invalid pos.;Invalid pos.
23.4488030000;58.1403140000;0.21030;4.93075;15.73441;26.70000;1.85232;1617.71655;0.10079;3.44008;Invalid pos.;Invalid pos.
23.4531860000;58.1395420000;0.23025;4.93075;16.91790;26.70000;0.91333;1617.71655;0.10079;3.89873;Invalid pos.;Invalid pos.
23.4575690000;58.1387700000;0.21030;5.11283;26.14104;26.10000;1.66139;1617.71655;0.10709;4.80303;Invalid pos.;Invalid pos.
23.4619530000;58.1379980000;0.22005;5.11283;30.22143;25.80000;1.85232;1617.71655;0.10079;5.00765;Invalid pos.;Invalid pos.
23.4663350000;58.1372260000;0.26379;5.30163;30.22143;25.50000;0.93851;1611.02368;0.09449;4.80303;Invalid pos.;Invalid pos.
23.4707180000;58.1364530000;0.21030;4.93075;37.56671;26.10000;2.56714;1617.71655;0.09449;3.44008;Invalid pos.;Invalid pos.
23.4751010000;58.1356810000;0.19207;4.93075;9.82033;26.70000;0.53016;1617.71655;0.09449;3.89873;Invalid pos.;Invalid pos.
23.4794840000;58.1349080000;0.20098;4.93075;8.19192;27.00000;0.46276;1624.40942;0.08819;3.89873;0.12481;0.00719
23.4838660000;58.1341350000;0.22005;4.93075;21.02978;27.90000;0.91333;1604.33069;0.08189;4.06483;Invalid pos.;Invalid pos.
23.4882480000;58.1333620000;0.34623;5.70040;43.43054;28.80000;1.49014;1590.94495;0.08819;5.00765;Invalid pos.;Invalid pos.
23.4926300000;58.1325890000;0.22005;4.93075;29.14519;27.90000;1.80263;1590.94495;0.08819;4.60677;Invalid pos.;Invalid pos.
23.4970120000;58.1318150000;0.21030;4.75516;18.19041;27.90000;0.60739;1617.71655;0.08819;2.91135;Invalid pos.;Invalid pos.
23.5013940000;58.1310420000;0.31623;5.49740;21.02978;28.50000;0.84178;1590.94495;0.08189;5.22098;Invalid pos.;Invalid pos.
23.5057760000;58.1302680000;0.28882;5.30163;18.19041;28.50000;0.69586;1604.33069;0.08189;4.06483;Invalid pos.;Invalid pos.
23.5101570000;58.1294940000;0.21030;4.58582;13.12533;28.50000;0.99098;1590.94495;0.08819;3.44008;Invalid pos.;Invalid pos.
23.5145390000;58.1287200000;0.20098;4.75516;12.65792;28.50000;0.69586;1617.71655;0.08819;4.41854;Invalid pos.;Invalid pos.
23.5189200000;58.1279460000;0.20098;4.75516;11.35320;28.20000;0.71504;1611.02368;0.08189;3.58663;Invalid pos.;Invalid pos.
23.5233010000;58.1271710000;0.21030;4.75516;15.73441;27.60000;0.75501;1604.33069;0.07559;4.60677;Invalid pos.;Invalid pos.
23.5276820000;58.1263970000;0.20098;4.75516;13.61000;27.90000;0.57523;1597.63782;0.06929;3.73943;Invalid pos.;Invalid pos.
23.5320630000;58.1256220000;0.19207;4.58582;13.61000;27.30000;0.38254;1590.94495;0.06929;3.89873;Invalid pos.;Invalid pos.
23.5364440000;58.1248470000;0.36229;5.70040;17.54262;27.00000;0.93851;1584.25195;0.06929;5.44340;Invalid pos.;Invalid pos.
23.5408240000;58.1240720000;0.19207;4.75516;45.03429;27.30000;1.23183;1577.55908;0.06299;4.41854;Invalid pos.;Invalid pos.
23.5452050000;58.1232970000;0.20098;4.58582;15.73441;27.00000;1.16662;1584.25195;0.06299;3.44008;Invalid pos.;Invalid pos.
23.5495850000;58.1225220000;0.20098;4.58582;21.02978;27.30000;1.04637;1577.55908;0.06299;3.44008;Invalid pos.;Invalid pos.
23.5539650000;58.1217460000;0.27602;5.11283;32.49459;27.90000;1.13532;1577.55908;0.06299;4.41854;Invalid pos.;Invalid pos.
23.5583450000;58.1209710000;0.20098;4.58582;11.35320;27.90000;0.71504;1590.94495;0.06929;3.58663;Invalid pos.;Invalid pos.
23.5627250000;58.1201950000;0.19207;4.58582;28.10728;28.20000;1.75426;1570.86621;0.05039;4.06483;Invalid pos.;Invalid pos.
23.5671050000;58.1194190000;0.23025;4.93075;28.10728;28.20000;1.26579;1577.55908;0.05039;5.00765;Invalid pos.;Invalid pos.
23.5714850000;58.1186430000;0.21030;4.75516;15.73441;28.20000;0.67719;1584.25195;0.06929;5.00765;Invalid pos.;Invalid pos.
23.5758640000;58.1178670000;0.19207;4.58582;19.55864;27.90000;0.84178;1584.25195;0.06299;3.44008;Invalid pos.;Invalid pos.
23.5802440000;58.1170900000;0.36229;5.70040;27.10634;27.90000;0.84178;1584.25195;0.06299;5.00765;Invalid pos.;Invalid pos.
23.5846230000;58.1163130000;0.27602;5.30163;18.19041;27.60000;1.66139;1577.55908;0.06299;4.41854;Invalid pos.;Invalid pos.
