longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
9.5603790000;58.1545770000;0.19207;1.33655;1.49014;9.60000;0.12207;1463.77954;0.04409;1.49349;0.05081;0.00901
9.5603790000;58.1545770000;0.19207;1.33655;1.49014;9.30000;0.12207;1490.55115;0.04409;1.49349;0.05086;0.00901
9.5706790000;58.1539170000;0.19207;1.54517;1.33655;8.70000;0.11561;1490.55115;0.03150;1.62345;0.05189;0.00729
9.5706790000;58.1539170000;0.19207;1.54517;1.33655;8.40000;0.11561;1490.55115;0.03150;1.62345;0.05187;0.00729
9.5701050000;58.1513520000;0.17543;1.38590;1.19878;9.30000;0.10949;1490.55115;0.03780;1.37393;0.04545;0.00676
9.5803960000;58.1506910000;0.18356;1.54517;1.24305;9.30000;0.11251;1503.93701;0.03150;1.55711;0.04799;0.00641
9.5803960000;58.1506910000;0.18356;1.54517;1.24305;9.00000;0.11251;1510.62988;0.03150;1.49349;0.04801;0.00641
9.5906800000;58.1500300000;0.17543;1.54517;1.24305;9.00000;0.11251;1503.93701;0.03780;1.49349;0.04876;0.00606
9.5906800000;58.1500300000;0.17543;1.54517;1.24305;9.00000;0.11251;1510.62988;0.03780;1.49349;0.04877;0.00606
9.6009500000;58.1493690000;0.18356;1.49014;1.28895;8.70000;0.11251;1497.24414;0.03780;1.26394;0.04377;0.00517
9.6009500000;58.1493690000;0.18356;1.49014;1.28895;8.70000;0.11251;1497.24414;0.03780;1.26394;0.04379;0.00517
9.6112180000;58.1487070000;0.18356;1.49014;1.38590;8.70000;0.11880;1503.93701;0.04409;1.26394;0.05224;0.00542
9.6106410000;58.1461430000;0.18356;1.72274;1.33655;8.70000;0.11561;1490.55115;0.03150;1.37393;0.04414;0.00453
9.6106410000;58.1461430000;0.18356;1.72274;1.33655;8.40000;0.11561;1490.55115;0.03150;1.37393;0.04415;0.00453
9.6208930000;58.1454810000;0.16765;1.54517;1.38590;8.70000;0.12544;1524.01575;0.03150;1.43246;0.05412;0.00526
9.6208930000;58.1454810000;0.16765;1.54517;1.38590;8.70000;0.12207;1524.01575;0.03780;1.43246;0.05411;0.00527
9.6311390000;58.1448190000;0.15312;1.38590;1.33655;8.70000;0.11561;1497.24414;0.03780;1.21230;0.05211;0.00545
9.6311390000;58.1448190000;0.15312;1.38590;1.33655;8.70000;0.11561;1497.24414;0.03780;1.21230;0.05211;0.00545
9.6413720000;58.1441570000;0.18356;1.60223;1.24305;8.70000;0.11251;1503.93701;0.03780;1.43246;0.04613;0.00579
9.6407930000;58.1415920000;0.15312;1.43708;1.72274;8.70000;0.13245;1503.93701;0.04409;1.37393;0.06052;0.00598
9.6510200000;58.1409300000;0.20098;1.72274;1.60223;8.70000;0.12890;1497.24414;0.03780;1.37393;0.05528;0.00573
9.6510200000;58.1409300000;0.20098;1.72274;1.60223;9.00000;0.12890;1497.24414;0.03780;1.37393;0.05528;0.00573
9.6510200000;58.1409300000;0.20098;1.72274;1.60223;9.00000;0.12890;1497.24414;0.03780;1.37393;0.05528;0.00574
9.6612320000;58.1402670000;0.18356;1.60223;1.28895;9.00000;0.11251;1503.93701;0.04409;1.43246;0.04276;0.00528
9.6612320000;58.1402670000;0.18356;1.60223;1.28895;8.70000;0.11251;1503.93701;0.04409;1.43246;0.04279;0.00529
9.6714410000;58.1396040000;0.13985;1.38590;1.49014;9.00000;0.12544;1490.55115;0.03780;1.31779;0.05149;0.00513
9.6714410000;58.1396040000;0.13985;1.38590;1.49014;9.30000;0.12544;1483.85828;0.03780;1.31779;0.05150;0.00514
9.6810530000;58.1363760000;0.18356;1.60223;1.38590;9.00000;0.11880;1483.85828;0.03780;1.49349;0.04664;0.00539
9.6810530000;58.1363760000;0.18356;1.60223;1.38590;9.30000;0.11880;1470.47241;0.03780;1.49349;0.04666;0.00540
