longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
9.5825450000;58.6757900000;0.26379;1.92072;3.55780;10.80000;0.21030;1410.23621;0.04409;2.26665;0.04068;0.01449
9.5831230000;58.6783530000;0.27602;1.99165;4.11314;11.40000;0.22205;1390.15747;0.04409;2.17404;0.08508;0.01660
9.5837010000;58.6809160000;0.27602;1.92072;4.11314;11.70000;0.25440;1336.61414;0.05669;2.26665;Invalid pos.;Invalid pos.
9.5842790000;58.6834790000;0.28882;2.06519;5.11283;11.40000;0.26862;1343.30713;0.05039;2.26665;Invalid pos.;Invalid pos.
9.5848570000;58.6860420000;0.28882;2.14145;4.42251;11.70000;0.26141;1343.30713;0.05039;2.17404;Invalid pos.;Invalid pos.
9.5854350000;58.6886050000;0.27602;2.06519;3.68917;11.70000;0.24093;1350.00000;0.05039;2.17404;0.02399;0.01429
9.5860130000;58.6911680000;0.27602;1.99165;3.82540;11.70000;0.22817;1350.00000;0.05039;2.36322;Invalid pos.;Invalid pos.
9.5865920000;58.6937310000;0.27602;2.06519;4.42251;11.40000;0.24093;1370.07874;0.04409;2.26665;0.07802;0.01557
9.5871700000;58.6962950000;0.27602;1.99165;4.42251;11.70000;0.22817;1336.61414;0.05039;2.26665;Invalid pos.;Invalid pos.
9.5877480000;58.6988580000;0.31623;2.30253;3.82540;11.70000;0.21610;1376.77173;0.04409;2.67829;0.03174;0.01512
9.5883270000;58.7014210000;0.33089;2.38755;4.42251;12.00000;0.23447;1323.22839;0.05039;2.46389;Invalid pos.;Invalid pos.
9.5889050000;58.7039840000;0.26379;1.99165;4.26502;11.40000;0.24757;1356.69287;0.05039;2.17404;Invalid pos.;Invalid pos.
9.5894840000;58.7065470000;0.28882;1.99165;3.82540;11.70000;0.22817;1363.38586;0.04409;2.17404;0.04213;0.01667
9.5900620000;58.7091100000;0.27602;1.99165;3.96666;11.10000;0.23447;1383.46460;0.04409;2.26665;0.05190;0.01664
9.5906410000;58.7116730000;0.24093;1.78636;4.42251;11.10000;0.24757;1356.69287;0.05039;2.00000;Invalid pos.;Invalid pos.
9.5912190000;58.7142360000;0.27602;2.06519;4.26502;10.80000;0.25440;1403.54333;0.05039;2.36322;0.05073;0.01445
9.5917970000;58.7167990000;0.27602;1.99165;4.93075;11.10000;0.24757;1376.77173;0.05039;2.17404;Invalid pos.;Invalid pos.
9.5923760000;58.7193620000;0.30221;2.14145;4.26502;10.80000;0.23447;1383.46460;0.05039;2.26665;Invalid pos.;Invalid pos.
9.5929550000;58.7219250000;0.30221;2.14145;3.82540;10.80000;0.23447;1390.15747;0.05039;2.46389;Invalid pos.;Invalid pos.
9.5935330000;58.7244880000;0.27602;1.85232;4.75516;11.10000;0.23447;1376.77173;0.05039;2.08520;Invalid pos.;Invalid pos.
9.5941100000;58.7270540000;0.25210;1.92072;5.11283;11.10000;0.26141;1376.77173;0.05039;2.08520;Invalid pos.;Invalid pos.
9.5946860000;58.7296170000;0.30221;2.06519;3.82540;11.10000;0.24093;1383.46460;0.05039;2.36322;Invalid pos.;Invalid pos.
9.5952630000;58.7321810000;0.25210;1.72274;4.58582;10.50000;0.26862;1390.15747;0.05669;1.91828;Invalid pos.;Invalid pos.
9.5958390000;58.7347440000;0.26379;1.78636;4.58582;10.80000;0.24757;1376.77173;0.05039;2.08520;Invalid pos.;Invalid pos.
9.5964160000;58.7373070000;0.28882;2.06519;4.58582;10.20000;0.24757;1430.31494;0.04409;2.36322;0.04132;0.01544
9.5969920000;58.7398710000;0.28882;2.06519;4.42251;10.50000;0.24093;1403.54333;0.05669;2.36322;Invalid pos.;Invalid pos.
9.5975690000;58.7424340000;0.25210;1.78636;4.26502;10.50000;0.24093;1410.23621;0.05669;2.00000;Invalid pos.;Invalid pos.
9.5981460000;58.7449970000;0.30221;2.22053;4.11314;10.50000;0.24757;1416.92920;0.05039;2.46389;Invalid pos.;Invalid pos.
9.5987230000;58.7475610000;0.30221;2.06519;4.58582;9.90000;0.25440;1437.00793;0.05669;2.26665;Invalid pos.;Invalid pos.
9.5992990000;58.7501240000;0.26379;1.99165;4.11314;9.90000;0.24757;1457.08667;0.05039;2.26665;Invalid pos.;Invalid pos.
9.5998760000;58.7526870000;0.26379;1.72274;3.82540;10.20000;0.22817;1430.31494;0.05039;2.00000;Invalid pos.;Invalid pos.
9.6004530000;58.7552510000;0.24093;1.72274;4.11314;10.50000;0.22205;1410.23621;0.05039;2.00000;Invalid pos.;Invalid pos.
9.6010300000;58.7578140000;0.30221;1.99165;4.26502;10.80000;0.24093;1383.46460;0.05669;2.17404;Invalid pos.;Invalid pos.
9.6016070000;58.7603770000;0.25210;1.85232;3.96666;11.40000;0.24093;1370.07874;0.05039;2.08520;Invalid pos.;Invalid pos.
9.6021840000;58.7629410000;0.25210;1.99165;4.42251;11.70000;0.22817;1363.38586;0.04409;2.26665;Invalid pos.;0.00000
9.6027610000;58.7655040000;0.27602;1.92072;4.26502;11.40000;0.24757;1363.38586;0.05039;2.17404;Invalid pos.;Invalid pos.
9.6033380000;58.7680670000;0.25210;1.72274;4.11314;10.80000;0.23447;1416.92920;0.04409;2.00000;Invalid pos.;Invalid pos.
9.6039150000;58.7706310000;0.25210;1.72274;3.96666;11.10000;0.23447;1376.77173;0.05039;2.00000;Invalid pos.;Invalid pos.
9.6044920000;58.7731940000;0.26379;1.92072;4.58582;10.80000;0.23447;1403.54333;0.04409;2.17404;Invalid pos.;0.00000
9.6050690000;58.7757570000;0.25210;1.78636;3.82540;10.50000;0.22817;1410.23621;0.05039;2.08520;Invalid pos.;Invalid pos.
9.6056460000;58.7783210000;0.25210;1.85232;4.26502;10.50000;0.22817;1430.31494;0.04409;2.08520;Invalid pos.;Invalid pos.
9.6062230000;58.7808840000;0.25210;1.78636;4.11314;10.80000;0.26862;1383.46460;0.05669;1.91828;Invalid pos.;Invalid pos.
9.6068010000;58.7834490000;0.26379;1.85232;4.58582;10.80000;0.25440;1383.46460;0.05669;2.08520;Invalid pos.;Invalid pos.
9.6073780000;58.7860120000;0.26379;1.85232;4.75516;10.80000;0.25440;1383.46460;0.05669;2.08520;Invalid pos.;Invalid pos.
9.6079550000;58.7885750000;0.26379;1.85232;4.58582;10.50000;0.24757;1403.54333;0.05669;2.00000;Invalid pos.;Invalid pos.
9.6085320000;58.7911380000;0.25210;1.92072;4.11314;10.50000;0.22817;1423.62207;0.04409;2.00000;Invalid pos.;Invalid pos.
9.6091100000;58.7937010000;0.26379;1.78636;4.42251;10.80000;0.26141;1376.77173;0.05669;2.00000;Invalid pos.;Invalid pos.
9.6096870000;58.7962640000;0.26379;1.85232;4.11314;11.10000;0.26141;1370.07874;0.05669;2.00000;Invalid pos.;Invalid pos.
9.6102650000;58.7988270000;0.23025;1.78636;3.68917;10.80000;0.24093;1403.54333;0.05039;1.83990;Invalid pos.;Invalid pos.
9.6108420000;58.8013900000;0.26379;1.99165;3.82540;11.40000;0.23447;1370.07874;0.05039;2.17404;Invalid pos.;Invalid pos.
9.6114200000;58.8039530000;0.25210;1.85232;3.68917;11.10000;0.21610;1396.85046;0.04409;2.17404;Invalid pos.;Invalid pos.
9.6119970000;58.8065160000;0.25210;1.92072;3.82540;10.80000;0.21610;1423.62207;0.04409;2.00000;Invalid pos.;Invalid pos.
9.6125740000;58.8090790000;0.25210;1.92072;4.11314;10.20000;0.24093;1443.70081;0.05039;2.08520;Invalid pos.;Invalid pos.
9.6131520000;58.8116420000;0.26379;2.06519;4.42251;10.80000;0.26862;1403.54333;0.05669;2.00000;Invalid pos.;Invalid pos.
9.6137300000;58.8142050000;0.25210;1.99165;4.11314;10.80000;0.24093;1403.54333;0.05039;2.00000;Invalid pos.;Invalid pos.
9.6143070000;58.8167690000;0.27602;2.38755;4.58582;11.10000;0.24093;1403.54333;0.05039;2.26665;Invalid pos.;Invalid pos.
9.6148850000;58.8193310000;0.27602;2.38755;5.70040;10.80000;0.29949;1390.15747;0.05669;2.17404;Invalid pos.;Invalid pos.
9.6154630000;58.8218950000;0.30221;2.76023;5.11283;11.40000;0.27602;1390.15747;0.05039;2.26665;Invalid pos.;Invalid pos.
9.6160400000;58.8244580000;0.26379;2.47572;6.12917;11.10000;0.27602;1396.85046;0.05039;2.08520;Invalid pos.;Invalid pos.
